count,pages_per_second,percentage_complete,memory in use
60000,88.11147981884453,6.065090257332003,17.2
70000,91.71361782366424,6.15579711002137,17.0
80000,93.01959529796486,6.248506526668575,20.4
90000,95.57820821604652,6.3529440394064025,19.3
100000,98.02224740981325,6.448809395455515,19.4
110000,99.32108430217437,6.560500921517407,19.6
120000,100.65829004178798,6.6520992109053045,20.0
130000,101.67614869286729,6.741492145048496,20.2
140000,103.0316169435432,6.828489607115541,20.4
150000,103.99964451527353,6.918009285813026,20.4
160000,105.48688662070478,7.0058770604862195,20.3
170000,107.06150433211991,7.093571617601878,20.3
180000,108.20011485229148,7.1787101595392855,20.3
190000,108.80066926290588,7.268724141998514,20.8
200000,109.9922552707749,7.351268645391381,21.6
210000,110.29085623158981,7.444172403688504,22.1
220000,110.57991885671446,7.534313130702026,22.0
230000,110.35175590743313,7.621348616135359,22.3
240000,110.5387034564768,7.707991193450383,21.4
250000,110.85482442927494,7.791072248789758,21.2
10000,32.512842791266976,7.882243831511536,20.9
20000,51.604243656898,7.978404924853999,20.7
30000,64.71813102358779,8.072838067439594,20.8
40000,74.3520105721605,8.162894298083588,20.8
50000,81.41820582636589,8.259655315649708,20.8
60000,86.0285531831454,8.350552285170515,19.9
70000,91.55969023537153,8.435154275161413,20.1
80000,94.82671365227161,8.525561165738953,21.2
90000,99.6692494713644,8.607366325898441,24.0
100000,103.8082543388717,8.690595249884494,24.5
110000,105.62352989119854,8.780820473267546,25.5
120000,107.8568776265673,8.88388069518205,25.6
130000,109.5482671106397,8.977135113412716,25.4
140000,113.27755066273394,9.052303083745704,25.7
150000,114.2459041509609,9.13722615994081,25.4
160000,114.79692571879056,9.229669413024,25.3
170000,115.38002062208271,9.324601084189817,25.4
180000,116.52154925266545,9.418983528953696,25.1
190000,117.57172761968586,9.513877176753224,25.1
200000,118.55983938695248,9.606683764225386,25.1
210000,119.54856090085337,9.701315473279374,25.3
220000,120.1972168839588,9.796433036458156,25.2
230000,121.05773615500746,9.889721253236633,25.2
240000,121.91282850520874,9.983685440971342,25.3
250000,122.72411270162274,10.081097080582836,25.2
10000,25.465235994081954,10.173789597956134,25.2
20000,43.16729722700177,10.266114556121982,25.3
30000,55.62909147357743,10.358059280624948,25.0
40000,64.77144372290556,10.459611242343362,25.4
50000,73.0784271367098,10.559714091324352,25.2
60000,79.14708683666254,10.656027278131967,25.6
70000,84.60238760365277,10.763227822153393,25.1
80000,89.98821817187799,10.870783250926841,25.3
90000,94.46240318410547,10.965583952719888,25.2
100000,98.14197923896916,11.06087895827468,25.3
110000,101.22087762363381,11.160829713790516,23.3
120000,103.26719149300347,11.26197609293519,24.5
130000,89.34710565433274,11.362015569639034,34.6
140000,92.40632780780113,11.461328377564929,34.5
150000,96.08921869880615,11.544565751187934,34.5
160000,99.6443317630327,11.629298710551602,34.6
170000,103.74868468590883,11.695497391259087,34.7
180000,106.14943898201363,11.77967689940234,34.6
190000,108.2440248130997,11.873079186279682,34.7
200000,109.74540586386205,11.966912404641622,34.4
210000,110.846972242179,12.069355803058565,34.5
220000,111.80666488259259,12.175943748400906,34.4
230000,112.6608880961649,12.281306496385076,34.5
240000,113.53726833903468,12.387214245952709,34.4
250000,114.46187301001969,12.508082077745447,34.5
10000,25.28428799413746,12.622376091988832,19.1
20000,43.031992365475425,12.735470257784904,19.3
30000,55.4595206662825,12.841137192699378,19.3
40000,65.8211789482458,12.946453467680307,19.4
50000,73.83009985850947,13.049631984512153,19.4
60000,80.91563866504819,13.15126421778162,19.4
70000,86.52849570639695,13.257590224378418,19.5
80000,90.83543569739722,13.368508608659122,19.7
90000,94.81459081176226,13.475502136575198,19.7
100000,98.41707750065251,13.578051155454055,18.0
110000,100.8491120658948,13.683946230566256,19.7
120000,103.5824431117908,13.782980200472705,19.2
130000,106.21129841569095,13.893818313202356,19.9
140000,108.08893542026915,14.005446466987099,19.9
150000,110.03869448072375,14.124898984590228,19.5
160000,112.33332138684254,14.251368925682739,19.6
170000,113.6336110449288,14.37556591443492,19.6
180000,115.2375459595467,14.500345928136852,19.6
190000,116.95378580632412,14.619891391746462,19.5
200000,117.86474982386478,14.735545797539263,18.0
210000,118.94544823842199,14.847288021422871,19.4
220000,120.28089866328075,14.946102300768546,19.4
230000,121.35575277811779,15.047007865260062,19.5
240000,122.31560040316215,15.153469066048109,19.9
250000,123.21388923734584,15.26156527158654,20.1
10000,22.022722509168243,15.36698716702938,18.8
20000,38.10866845214856,15.471061345378235,20.1
30000,50.888120261206296,15.580167282532539,20.3
40000,61.41274436134655,15.70327004329932,18.4
50000,69.66077654025389,15.808328604353186,18.5
60000,76.48051473979494,15.925981349285346,18.5
70000,82.56478649800626,16.04918550569556,18.4
80000,87.8590903603387,16.178055143682695,18.4
90000,92.41047274303199,16.29564874115619,18.5
100000,96.8698749368034,16.413031097705854,19.0
110000,100.6642880374073,16.538664524740028,19.6
120000,104.0018113236862,16.672080067407823,20.7
130000,107.16312926350881,16.795284223818037,21.0
140000,109.85348807449455,16.918513729139114,20.8
